,이름,주소
124,과학기술대점,서울 노원구 공릉로 231(지번) 공릉동 435-2
125,삼성역,서울 강남구 삼성로92길 29 도일빌딩 1층(지번) 삼성동 158-15
126,어린이대공원점,서울 광진구 광나루로 392(지번) 화양동 212
127,한국외대점,서울 동대문구 휘경로 15(지번) 이문동 305-151
128,송파잠실DT점,서울 송파구 도곡로 434(지번) 잠실동 305-15
129,안산점,경기 안산시 단원구 당곡로 12(지번) 고잔동 536
130,평촌호계점,경기 안양시 동안구 평촌대로 137(지번) 호계동 1058-3
131,의정부GS DT점,경기 의정부시 평화로 315(지번) 호원동 435
132,중랑점,서울 중랑구 망우로 202 동성빌딩(지번) 상봉동 130-166
133,한티역,서울 강남구 도곡로 409 엠프리스빌딩(지번) 대치동 938-22
134,군포산본DT점,경기 군포시 고산로 715(지번) 산본동 105-6
135,신천점,서울 송파구 올림픽로 108(지번) 잠실동 181-9
136,장안사거리점,서울 동대문구 답십리로 291-1(지번) 장안동 308-4
137,잠실역점,서울 송파구 송파대로 558(지번) 신천동 7-25
138,중계점,서울 노원구 중계로 218(지번) 중계동 359-14
139,신내점,서울 중랑구 봉화산로 194 신아타운1층(지번) 신내동 666
140,서울둔촌DT점,서울 강동구 양재대로 1382(지번) 둔촌동 517-2
141,구리인창DT점,경기 구리시 동구릉로 130(지번) 인창동 410-5
142,한신점,서울 노원구 한글비석로 57(지번) 하계동 284
143,만가대DT점,경기 의정부시 민락로 11(지번) 용현동 60-1
144,굽은다리역DT점,서울 강동구 양재대로 1587(지번) 천호동 31-10
145,의정부금오DT점,경기 의정부시 호국로 1604 1층(지번) 금오동 99-6
146,의왕오전DT점,경기 의왕시 경수대로 351(지번) 오전동 207-1
147,구의역점,서울 광진구 아차산로 376(지번) 자양동 216-11
148,석촌역점,서울 송파구 백제고분로 390(지번) 송파동 84
149,과천이마트점,경기 과천시 별양상가3로 11 1층(지번) 별양동 1-19
150,양주덕계DT점,경기 양주시 평화로 1511(지번) 덕계동 495-8
151,군포당동SK DT점,경기 군포시 고산로 259(지번) 당동 871-2
152,코엑스점,서울 강남구 영동대로 513 지하1층 A102호(지번) 삼성동 159-9
153,위례신도시점,서울 송파구 위례광장로 290 위례중앙푸르지오2단지 상가 1층 119~122호(지번) 장지동 896
154,가락DT점,서울 송파구 동남로 196(지번) 가락동 193-7
155,성남신흥DT점,경기 성남시 수정구 수정로 306(지번) 신흥동 181
