,이름,주소
135,성대점,서울 종로구 창경궁로 234 동화빌딩(지번) 명륜4가 188-4
136,북촌점,서울 종로구 율곡로 67 1층(지번) 계동 146-2
137,수유역점,서울 강북구 오패산로 417(지번) 번동 446-46
138,종로5가점,서울 종로구 종로 213-1 1층(지번) 종로5가 88-4
139,강남역점,서울 강남구 강남대로96길 12 지천빌딩 1층(지번) 역삼동 818-1
140,성신여대점,서울 성북구 보문로34길 78(지번) 동선동2가 135-2
141,시흥정왕점,경기 시흥시 중심상가로 195(지번) 정왕동 1737-18
142,신림점,서울 관악구 신림로 318(지번) 신림동 1641-17
143,한남점,서울 용산구 대사관로 63(지번) 한남동 657-106
144,논현역점,서울 서초구 강남대로 535 프린스빌딩 1층(지번) 반포동 707-11
145,방배점,서울 서초구 효령로 111 1층(지번) 방배동 912-5
146,동대문역점,서울 종로구 종로 263-1(지번) 종로6가 123-1
147,압구정역점,서울 강남구 압구정로28길 13(지번) 신사동 581-8
148,노원점,서울 노원구 노해로 502(지번) 상계동 723
149,신설동역점,서울 동대문구 왕산로 15-1 1층(지번) 신설동 76-36
150,약수역점,서울 중구 다산로 153(지번) 신당동 370-53
151,왕십리점,서울 성동구 왕십리로 328 1층(지번) 도선동 253-12
152,미아역점,서울 강북구 도봉로 209(지번) 미아동 207-17
153,길음뉴타운점,서울 성북구 길음로7길 6(지번) 길음동 1286-10
154,한성대점,서울 성북구 동소문로 10(지번) 동소문동2가 12
155,삼양솔샘점,서울 강북구 삼양로 162 1층 103~105호(지번) 미아동 682-11
156,신논현역점,서울 서초구 강남대로 499(지번) 반포동 737-3
157,신사역점,서울 강남구 도산대로 124 대영빌딩(지번) 논현동 4-1
158,의정부역점,경기 의정부시 신흥로257번길 6(지번) 의정부동 432-30
159,정릉점,서울 성북구 보국문로 40(지번) 정릉동 403-18
160,상왕십리점,서울 성동구 왕십리로 410(지번) 상왕십리동 816-1
161,신당역점,서울 중구 퇴계로 388(지번) 신당동 247-11
162,교대점,서울 서초구 서초중앙로22길 47 문화빌딩 1층(지번) 서초동 1670-10
163,창동역점,서울 도봉구 마들로11길 61(지번) 창동 13-1
